,0,1,2,3,4,5,6,7,8,9,10
0,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008001_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008001_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000195201_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000721601_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000035301_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000035301_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000334101_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000537801_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000018201_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000566301_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000325201_3_back.jpg
1,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008001_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000721601_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000334101_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000093802_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000187501_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000076301_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000721601_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000357001_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000065302_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000244601_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000572401_2_side.jpg
2,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008001_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000195201_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000195201_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000325201_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000566301_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008001_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000721601_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000035301_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000018201_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000537801_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000334101_3_back.jpg
3,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008001_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000646501_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000026501_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000244601_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000334101_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000244601_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000051601_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000520801_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000588701_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000572401_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000008405_1_front.jpg
4,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008901_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008901_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000018201_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000357001_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008901_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000695901_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000325201_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000520801_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000195201_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000334101_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000566301_1_front.jpg
5,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008901_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008901_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000018201_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000537801_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000357001_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000334101_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000035301_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000325201_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000307401_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000566301_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000520801_2_side.jpg
6,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008901_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008901_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000195201_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000018201_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000082601_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000721601_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000334101_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008001_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000695901_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000537801_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000588701_3_back.jpg
7,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008901_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000018201_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000721601_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000588701_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000334101_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008901_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000695901_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000051601_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000537801_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008901_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000065301_2_side.jpg
8,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008902_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008902_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008902_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000333607_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000729701_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000082603_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000640702_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000729701_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000729701_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008903_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000255903_2_side.jpg
9,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008902_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119802_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000640702_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119803_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119801_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008903_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119802_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119802_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119802_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119801_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119801_1_front.jpg
10,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008902_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008902_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008902_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000333607_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000247601_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000387901_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000255901_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000257801_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000373401_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000729701_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000373401_2_side.jpg
11,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008902_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008902_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000086701_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008902_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000324201_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000333607_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000640702_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000247601_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000729701_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000640702_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000086701_1_front.jpg
12,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008903_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008903_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119803_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119803_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000093805_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000582601_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000190301_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000093805_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000480701_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000325201_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000307401_1_front.jpg
13,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008903_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119803_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119802_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000640702_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008902_2_side.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119803_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119802_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119802_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000247601_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119801_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000640702_2_side.jpg
14,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008903_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008903_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119803_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000119803_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000093805_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000582601_7_additional.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000480701_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000008926_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000325201_1_front.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Jackets_Vests_id_0000009404_3_back.jpg,C:\Users\somir\Desktop\ADM_assignment_3\Newfolder_1\input_Images\MEN_Denim_id_0000093805_2_side.jpg
